doc_id,origin_path,format,extracted_path,lang,words,char_count,timestamp
doc_67,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\24294778.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_67.txt,en,1219,9104,2026-02-24T22:23:10.560891
doc_68,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\24703009.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_68.txt,en,827,6070,2026-02-24T22:23:11.489308
doc_69,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\24799301.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_69.txt,en,143,1077,2026-02-24T22:23:11.632289
doc_70,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\24817041.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_70.txt,en,271,1999,2026-02-24T22:23:11.962427
doc_71,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25067742.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_71.txt,en,344,2696,2026-02-24T22:23:12.372897
doc_72,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25127518.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_72.txt,en,442,3465,2026-02-24T22:23:12.802162
doc_73,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25462793.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_73.txt,en,452,3502,2026-02-24T22:23:13.290136
doc_74,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25547145.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_74.txt,en,910,6967,2026-02-24T22:23:14.285116
doc_75,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25749150.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_75.txt,en,804,6175,2026-02-24T22:23:14.856764
doc_76,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25846894.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_76.txt,en,773,6117,2026-02-24T22:23:15.387867
doc_77,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25862026.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_77.txt,en,753,5822,2026-02-24T22:23:16.073012
doc_78,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25867805.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_78.txt,en,629,4687,2026-02-24T22:23:16.469309
doc_79,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\25935030.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_79.txt,en,750,5583,2026-02-24T22:23:17.013633
doc_80,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\26065877.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_80.txt,en,651,5050,2026-02-24T22:23:17.670380
doc_81,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\26975573.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_81.txt,en,1061,8580,2026-02-24T22:23:18.421384
doc_82,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\27558837.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_82.txt,en,740,4861,2026-02-24T22:23:18.843810
doc_83,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\27573855.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_83.txt,en,917,6851,2026-02-24T22:23:19.671865
doc_84,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\27637576.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_84.txt,en,1165,9004,2026-02-24T22:23:20.470944
doc_85,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\27980446.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_85.txt,en,710,5362,2026-02-24T22:23:21.175128
doc_86,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\28298773.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_86.txt,en,664,4932,2026-02-24T22:23:21.596002
doc_87,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\28359817.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_87.txt,en,857,5983,2026-02-24T22:23:22.155132
doc_88,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\28614791.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_88.txt,en,849,5997,2026-02-24T22:23:22.956114
doc_89,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\28939941.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_89.txt,en,899,6814,2026-02-24T22:23:23.543656
doc_90,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\28969385.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_90.txt,en,739,5748,2026-02-24T22:23:24.042218
